일자,계(명),서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,검역
누적(명),"34,571,873 ","6,751,223 ","2,092,592 ","1,516,396 ","1,991,875 ","1,018,481 ","1,013,271 ","738,120 ","273,413 ","9,266,555 ","1,005,827 ","1,075,459 ","1,390,748 ","1,167,903 ","1,142,438 ","1,581,188 ","2,075,970 ","451,522 ","18,892 "
2020-01-20,1 ,-,-,-,1 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-01-21,0 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-01-22,0 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-01-23,0 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-01-24,1 ,1 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-01-25,0 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-01-26,1 ,-,-,-,-,-,-,-,-,1 ,-,-,-,-,-,-,-,-,-
2020-01-27,1 ,-,-,-,-,-,-,-,-,1 ,-,-,-,-,-,-,-,-,-
2020-01-28,0 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-01-29,0 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-01-30,3 ,3 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-01-31,4 ,3 ,-,-,-,-,-,-,-,-,-,-,-,1 ,-,-,-,-,-
2020-02-01,1 ,-,-,-,-,-,-,-,-,1 ,-,-,-,-,-,-,-,-,-
2020-02-02,3 ,1 ,-,-,-,-,-,-,-,2 ,-,-,-,-,-,-,-,-,-
2020-02-03,0 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-02-04,1 ,-,-,-,-,1 ,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-02-05,5 ,2 ,-,-,-,1 ,-,-,-,2 ,-,-,-,-,-,-,-,-,-
2020-02-06,3 ,2 ,-,-,-,-,-,-,-,-,-,-,-,-,1 ,-,-,-,-
2020-02-07,0 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-02-08,0 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-02-09,3 ,-,-,-,-,-,-,-,-,3 ,-,-,-,-,-,-,-,-,-
2020-02-10,1 ,-,-,-,-,-,-,-,-,1 ,-,-,-,-,-,-,-,-,-
2020-02-11,0 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-02-12,0 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-02-13,0 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-02-14,0 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-02-15,0 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-02-16,2 ,2 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-02-17,0 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-02-18,2 ,-,-,1 ,-,-,-,-,-,1 ,-,-,-,-,-,-,-,-,-
2020-02-19,34 ,2 ,-,27 ,-,-,-,-,-,-,-,-,-,-,-,5 ,-,-,-
2020-02-20,16 ,-,-,12 ,-,-,-,-,-,-,-,-,-,-,-,4 ,-,-,-
2020-02-21,74 ,5 ,-,44 ,-,1 ,-,-,-,1 ,-,1 ,1 ,1 ,-,17 ,2 ,1 ,-
2020-02-22,190 ,2 ,2 ,67 ,-,3 ,1 ,-,1 ,2 ,-,2 ,-,1 ,-,106 ,2 ,1 ,-
2020-02-23,210 ,3 ,7 ,136 ,1 ,1 ,1 ,1 ,-,8 ,6 ,-,-,-,-,39 ,7 ,-,-
2020-02-24,207 ,4 ,8 ,152 ,-,2 ,1 ,-,-,12 ,-,-,-,-,-,19 ,9 ,-,-
2020-02-25,130 ,7 ,18 ,54 ,-,-,-,1 ,-,5 ,-,-,-,-,-,44 ,1 ,-,-
2020-02-26,253 ,8 ,13 ,184 ,1 ,-,-,1 ,-,3 ,-,2 ,1 ,-,-,36 ,4 ,-,-
2020-02-27,449 ,10 ,8 ,340 ,-,-,5 ,3 ,-,12 ,-,2 ,5 ,-,-,53 ,11 ,-,-
2020-02-28,427 ,7 ,5 ,296 ,1 ,-,4 ,5 ,-,11 ,-,3 ,9 ,2 ,-,74 ,10 ,-,-
2020-02-29,909 ,12 ,14 ,742 ,2 ,-,1 ,6 ,-,10 ,1 ,-,32 ,-,1 ,75 ,13 ,-,-
2020-03-01,595 ,8 ,4 ,512 ,-,-,-,-,-,8 ,-,1 ,12 ,-,1 ,48 ,1 ,-,-
2020-03-02,686 ,9 ,6 ,517 ,1 ,-,1 ,3 ,-,8 ,12 ,-,17 ,1 ,1 ,108 ,2 ,-,-
2020-03-03,600 ,7 ,2 ,520 ,-,2 ,-,-,-,2 ,1 ,-,4 ,1 ,-,59 ,1 ,1 ,-
2020-03-04,516 ,-,3 ,398 ,1 ,2 ,1 ,3 ,-,9 ,1 ,-,1 ,-,-,95 ,2 ,-,-
2020-03-05,438 ,5 ,-,326 ,1 ,-,1 ,-,-,7 ,2 ,1 ,4 ,-,-,81 ,9 ,1 ,-
2020-03-06,518 ,2 ,3 ,367 ,-,-,2 ,-,-,10 ,2 ,3 ,4 ,-,-,122 ,3 ,-,-
2020-03-07,483 ,3 ,1 ,390 ,-,-,-,-,1 ,10 ,1 ,5 ,2 ,-,-,65 ,5 ,-,-
2020-03-08,367 ,12 ,1 ,297 ,-,-,-,1 ,1 ,11 ,1 ,4 ,6 ,-,-,32 ,1 ,-,-
2020-03-09,248 ,10 ,-,190 ,-,2 ,-,-,3 ,12 ,1 ,1 ,4 ,-,-,25 ,-,-,-
2020-03-10,131 ,11 ,-,92 ,4 ,-,-,-,2 ,10 ,-,-,2 ,-,-,10 ,-,-,-
2020-03-11,242 ,53 ,2 ,131 ,12 ,-,-,1 ,2 ,11 ,1 ,2 ,8 ,-,-,18 ,1 ,-,-
