요양기관명,시도코드명,시군구코드명,주소,전화번호,개설일자,좌표(x),좌표(y)
스카이약국,서울,서초구,"서울특별시 서초구 방배로 199, 1층 C호 (방배동)",02-532-7225,20230424,126.9911577,37.4911126
화인약국,서울,송파구,"서울특별시 송파구 중대로 80, (문정동, 롯데마트 3층)",02-449-0895,20060102,127.1178428,37.491762
마프자서울약국,서울,마포구,"서울특별시 마포구 대흥로24길 24, 상가A동 206호 (염리동)",02-711-3119,20210409,126.9476615,37.553974
박하향약국,인천,인천서구,"인천광역시 서구 이음대로 392, 메트로시티 106,107호 (원당동)",032-568-8591,20230418,126.7127253,37.5926069
좋은우리약국,경기,김포시,"경기도 김포시 감암로 7, (걸포동)",031-987-7718,20230412,126.7111628,37.6319034
신세계약국,충남,홍성군,"충청남도 홍성군 홍성읍 내포로 20, ()",041-632-2575,20210812,126.6656799,36.6001095
365사랑약국,충북,진천군,"충청북도 진천군 덕산읍 자안로 9, 삼영프라자 113호",043-534-0365,20230420,127.5345922,36.9041588
프라자약국,서울,관악구,"서울특별시 관악구 봉천로 391, 115호 (봉천동, 두산아파트에이상가)",02-3285-7294,20010309,126.9432631,37.4834822
오약국,충남,보령시,"충청남도 보령시 흥덕로 22, (명천동)",041-936-4964,20230424,126.603225,36.340204
파랑약국,부산,부산해운대구,"부산광역시 해운대구 선수촌로 94, 대룡빌딩 102호 (반여동)",051-526-8900,20201210,129.1195631,35.2021038
참약사한마음약국,서울,강동구,"서울특별시 강동구 풍성로51길 3, 1층 (성내동)",02-477-9877,20230414,127.1325223,37.5301002
오늘약국,대구,대구서구,"대구광역시 서구 국채보상로 223, 대원빌딩 106호 (평리동)",053-557-5577,20230331,128.5553458,35.8708157
메가약국,충남,논산시,"충청남도 논산시 중앙로 255, 116호 (내동)",041-732-0280,20220829,127.0990133,36.1898965
한빛약국,서울,중랑구,"서울특별시 중랑구 겸재로 225, 1층 (면목동)",02-2207-3588,20190806,127.092583,37.5896915
새나루약국,세종시,세종시,"세종특별자치시 남세종로 73, 111호 (집현동)",,20230421,127.3256614,36.4919774
파마시아약국,서울,서초구,"서울특별시 서초구 강남대로85길 9, 1층 (반포동)",,20230424,127.0222723,37.5073723
이레중앙약국,인천,인천남동구,"인천광역시 남동구 구월로 332, (만수동)",032-465-0153,19980116,126.7274383,37.4551234
보수사거리약국,부산,부산중구,"부산광역시 중구 흑교로 38, 1층 (부평동2가)",051-242-8550,20230425,129.0254604,35.1028599
행복한약국,충남,당진시,"충청남도 당진시 시청1로 75, (읍내동)",041-357-5270,20161026,126.6392505,36.8908257
자연치유약국,경기,구리시,"경기도 구리시 체육관로74번길 80, 107호 (수택동, 럭키아파트상가)",031-566-1595,20150327,127.1426736,37.5912614
새서울약국,서울,구로구,"서울특별시 구로구 가마산로 268, 대림역와이즈플레이스 108호 (구로동)",02-862-0268,20190311,126.8902483,37.4957168
오남인화약국,경기,남양주시,"경기도 남양주시 오남읍 진건오남로 915, 106호",031-572-3334,20230904,127.1936981,37.7050852
드림약국,대구,대구동구,"대구광역시 동구 아양로 162, 1층 (신암동)",,20230418,128.6308539,35.8853248
바다약국,경기,안성시,"경기도 안성시 중앙로 358, 1층 (석정동)",031-671-0131,20171123,127.2664684,37.0080068
하나약국,인천,인천연수구,"인천광역시 연수구 먼우금로188번길 12, 이리옴3빌딩 106,107,108호 (연수동)",032-815-0153,20210512,126.6765279,37.4134271
베어약국,서울,강남구,"서울특별시 강남구 봉은사로114길 12, 지하 1층 (삼성동)",02-0000-0000,20190619,127.0654871,37.5144324
소나무약국,서울,영등포구,"서울특별시 영등포구 신길로 150-1, 1층 (신길동)",070-7657-0013,20201117,126.9111099,37.5055197
365송파고은약국,서울,송파구,"서울특별시 송파구 오금로 95, 국제빌딩 1층 (방이동)",02-417-0503,20230425,127.1077249,37.5137648
믿음약국,전북,군산시,"전라북도 군산시 공단대로 252, 1층 (수송동)",,20230418,126.7136932,35.9596897
반월튼튼약국,경기,화성시,"경기도 화성시 영통로 66, 반월메디컬프라자 1동 1층 104호 (반월동)",070-7804-3004,20230904,127.0617747,37.2361844
연수버들약국,인천,인천연수구,"인천광역시 연수구 먼우금로 190, 연수프라자 1층 109,110호 (연수동)",070-7543-8331,20230904,126.6767294,37.4140587
부평중앙약국,인천,인천부평구,"인천광역시 부평구 대정로 28, 104호 (부평동)",032-201-5060,20211220,126.7242358,37.4963427
하나프라자약국,경기,의정부시,"경기도 의정부시 평화로 228, 103호 (호원동, 로뎀프라자)",031-875-4952,20150313,127.047788,37.7122087
서초무지개약국,서울,서초구,"서울특별시 서초구 효령로 403, 4층 410호 (서초동)",0504-262-6507,20220418,127.0277491,37.4889159
호약국,서울,관악구,"서울특별시 관악구 신림로 208, 1층 (신림동)",,20230905,126.9374158,37.4758481
더사랑약국,인천,인천서구,"인천광역시 서구 가경주로40번길 20-10, 1호 (가정동)",070-4388-5131,20190103,126.6758308,37.5163566
광교팜약국,경기,용인수지구,"경기도 용인시 수지구 광교중앙로 304, 105호 (상현동)",031-217-9986,20160614,127.0695933,37.2971016
메디칼약국,경기,파주시,"경기도 파주시 와석순환로 125, 104,105호 (동패동, 현대프라자)",031-948-0837,20160615,126.7458544,37.7120908
문산보룡약국,경기,파주시,"경기도 파주시 문산읍 문향로 49, ()",0507-1474-5682,20190114,126.7852505,37.8564009
청담장수 한약국,서울,강남구,"서울특별시 강남구 도산대로89길 3, (청담동, 2층 일부)",542-9828,20130416,127.0502083,37.5250602
대도약국,서울,종로구,"서울특별시 종로구 우정국로 38-1, 1층 (견지동)",02-737-4510,19900516,126.983275,37.5724922
메디팜정연약국,서울,강남구,"서울특별시 강남구 강남대로 256, 103호 (도곡동, 대우양재디오빌)",02-522-5925,20121231,127.0335456,37.4864916
진선약국,서울,강남구,"서울특별시 강남구 선릉로 424, (대치동)",567-0429,19870512,127.0500875,37.5029179
국민약국,서울,강서구,"서울특별시 강서구 곰달래로 225, 1,2층 (화곡동)",02-2602-4711,19821105,126.8580318,37.5318488
더현대약국,경기,여주시,"경기도 여주시 가남읍 태평로 62, 1층",,20230425,127.5437799,37.2053239
직영약국,서울,강북구,"서울특별시 강북구 도봉로67길 13, (미아동)",02-989-2370,19980807,127.0235512,37.6305897
새서울약국,서울,강북구,"서울특별시 강북구 솔샘로 223, (미아동)",02-981-8215,20221011,127.0175897,37.6202822
